Query,Expected Article URL,Match Found,Rank (if found),Top URLs,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10,MRR
how to delete a survey,https://help.surveymonkey.com/en/surveymonkey/manage/survey-deletion/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/manage/survey-deletion/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/apply/build/delete-task/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/apply/build/delete-stage/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
randomize order of survey questions,https://help.surveymonkey.com/en/surveymonkey/create/question-page-randomization/,True,6.0,https://help.surveymonkey.com/en/wufoo/build/randomize-answers/; https://help.surveymonkey.com/en/surveymonkey/create/logic-options/; https://help.surveymonkey.com/en/surveymonkey/create/randomizing-answers/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/create/question-page-randomization/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/question-bank/; https://help.surveymonkey.com/en/surveymonkey/create/design-character-limits/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.16666666666666666
add progress bar to my survey,https://help.surveymonkey.com/en/surveymonkey/create/progress-bar/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/progress-bar/; https://help.surveymonkey.com/en/surveymonkey/create/one-question-at-a-time/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/wufoo/build/multi-page-forms/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/getfeedback/builder/survey-builder/; https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how to preview survey before sending,https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/sending-survey-copies/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/analyze/commenting/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/getfeedback/builder/preview-draft-mode/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/create/survey-title/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how to A/B test a survey,https://help.surveymonkey.com/en/surveymonkey/create/ab-tests/,True,3.0,https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/apply/faqs/test-apply-site/; https://help.surveymonkey.com/en/surveymonkey/create/ab-tests/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/solutions/response-rate/; https://help.surveymonkey.com/en/getfeedback/builder/preview-draft-mode/; https://help.surveymonkey.com/en/getfeedback/builder/survey-builder/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
do you have a nonprofit discount,https://help.surveymonkey.com/en/surveymonkey/billing/discounts/,True,2.0,https://help.surveymonkey.com/en/wufoo/account/non-profit-discount/; https://help.surveymonkey.com/en/surveymonkey/billing/discounts/; https://help.surveymonkey.com/en/wufoo/account/your-new-plan/; https://help.surveymonkey.com/en/wufoo/account/taxes-vat/; https://help.surveymonkey.com/en/surveymonkey/billing/taxes/; https://help.surveymonkey.com/en/wufoo/build/collect-payment/; https://help.surveymonkey.com/en/getfeedback/builder/custom-variables/; https://help.surveymonkey.com/en/surveymonkey/send/anonymous-responses/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/website-collector/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
transfer survey to another account,https://help.surveymonkey.com/en/surveymonkey/manage/transferring-surveys/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/manage/transferring-surveys/; https://help.surveymonkey.com/en/getfeedback/account/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/sending-survey-copies/; https://help.surveymonkey.com/en/surveymonkey/teams/manage-your-teams-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/wufoo/account/account-manager/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/account/secure-support/; https://help.surveymonkey.com/en/surveymonkey/teams/working-with-others/; https://help.surveymonkey.com/en/surveymonkey/policy/data-ownership/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how to use AI to summarize responses,https://help.surveymonkey.com/en/surveymonkey/analyze/analyze-with-ai/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/analyze-with-ai/; https://help.surveymonkey.com/en/surveymonkey/account/ai-feature-access/; https://help.surveymonkey.com/en/surveymonkey/create/build-with-ai/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-text-responses/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/out-of-order-responses/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/new/release-notes-november-2024/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-results/; https://help.surveymonkey.com/en/surveymonkey/send/surveymonkey-audience/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
make a quiz with right and wrong answers,https://help.surveymonkey.com/en/surveymonkey/create/quizzes/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/quizzes/; https://help.surveymonkey.com/en/surveymonkey/integrations/microsoft-teams-integration/; https://help.surveymonkey.com/en/surveymonkey/send/answers-already-selected/; https://help.surveymonkey.com/en/surveymonkey/create/dropdown/; https://help.surveymonkey.com/en/getfeedback/insights/workspaces-choice-filter/; https://help.surveymonkey.com/en/wufoo/account/how-to-contact/; https://help.surveymonkey.com/en/getfeedback/account/how-to-contact/; https://help.surveymonkey.com/en/surveymonkey/site/system-messages/; https://help.surveymonkey.com/en/getfeedback/insights/responses-explorer/; https://help.surveymonkey.com/en/wufoo/build/limit-answer-range/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how to split traffic between two surveys,https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/,False,,https://help.surveymonkey.com/en/apply/monitor/reviewer-portal/; https://help.surveymonkey.com/en/surveymonkey/teams/manage-your-teams-surveys/; https://help.surveymonkey.com/en/getfeedback/channels/page-load-time/; https://help.surveymonkey.com/en/apply/getting-started/intro-reviews-assignments/; https://help.surveymonkey.com/en/surveymonkey/analyze/exports-wont-open/; https://help.surveymonkey.com/en/getfeedback/builder/custom-survey-links/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/transferring-surveys/; https://help.surveymonkey.com/en/getfeedback/account/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/can-i-time-surveys/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what is a web link collector,https://help.surveymonkey.com/en/surveymonkey/send/web-link-collector/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/web-link-collector/; https://help.surveymonkey.com/en/surveymonkey/getting-started/sending-your-survey/; https://help.surveymonkey.com/en/surveymonkey/send/collector-options/; https://help.surveymonkey.com/en/surveymonkey/manage/opening-closing-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/recurring-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/manual-entry/; https://help.surveymonkey.com/en/surveymonkey/send/custom-survey-links/; https://help.surveymonkey.com/en/surveymonkey/send/social-media-collector/; https://help.surveymonkey.com/en/wufoo/share/form-links/; https://help.surveymonkey.com/en/surveymonkey/send/custom-variables/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how to test a survey before going live,https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/apply/faqs/test-apply-site/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/ab-tests/; https://help.surveymonkey.com/en/getfeedback/builder/preview-draft-mode/; https://help.surveymonkey.com/en/wufoo/build/live-forms/; https://help.surveymonkey.com/en/apply/advanced/test-cas-sso/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
enable verification on survey,https://help.surveymonkey.com/en/surveymonkey/send/sender-email-address/,True,2.0,https://help.surveymonkey.com/en/surveymonkey/getting-started/logging-in/; https://help.surveymonkey.com/en/surveymonkey/send/sender-email-address/; https://help.surveymonkey.com/en/surveymonkey/account/email-username-password/; https://help.surveymonkey.com/en/surveymonkey/site/enabling-cookies/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/getting-started/saved-devices/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
view summary of all survey answers,https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/send/answers-already-selected/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/getfeedback/insights/email-reports-dashboards/; https://help.surveymonkey.com/en/surveymonkey/analyze/creating-views/; https://help.surveymonkey.com/en/surveymonkey/analyze/export-examples/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/exporting-individual-questions/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
is SurveyMonkey HIPAA compliant,https://help.surveymonkey.com/en/surveymonkey/policy/hipaa/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/policy/hipaa/; https://help.surveymonkey.com/en/surveymonkey/policy/collecting-sensitive-information/; https://help.surveymonkey.com/en/surveymonkey/policy/irb-guidelines/; https://help.surveymonkey.com/en/surveymonkey/billing/teams/; https://help.surveymonkey.com/en/surveymonkey/send/facebook-messenger/; https://help.surveymonkey.com/en/surveymonkey/teams/enterprise-feature-list/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-for-academics/; https://help.surveymonkey.com/en/surveymonkey/policy/citing-surveymonkey/; https://help.surveymonkey.com/en/apply/advanced/saml-details/; https://help.surveymonkey.com/en/surveymonkey/policy/data-collection-privacy/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
where is my survey data stored,https://help.surveymonkey.com/en/surveymonkey/policy/surveymonkey-data/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/policy/surveymonkey-data/; https://help.surveymonkey.com/en/surveymonkey/policy/data-collection-privacy/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/apply/faqs/apply-data-privacy/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I set survey questions as required,https://help.surveymonkey.com/en/surveymonkey/create/required-questions/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/required-questions/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/analyze/respondents-skipping-questions/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-statuses/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/create/design-character-limits/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/survey-introduction/; https://help.surveymonkey.com/en/getfeedback/builder/survey-builder/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how do I change the survey title or URL,https://help.surveymonkey.com/en/surveymonkey/create/survey-title/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/survey-title/; https://help.surveymonkey.com/en/surveymonkey/send/custom-survey-links/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/wufoo/build/form-name/; https://help.surveymonkey.com/en/getfeedback/programs/kiosk-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/getfeedback/builder/survey-builder/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/; https://help.surveymonkey.com/en/apply/features/custom-url/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I merge results from multiple collectors,https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-merge-fields/; https://help.surveymonkey.com/en/getfeedback/builder/merge-fields-logic/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-email-tracking/; https://help.surveymonkey.com/en/getfeedback/builder/link-builder/; https://help.surveymonkey.com/en/getfeedback/builder/encrypting-merge-fields/; https://help.surveymonkey.com/en/getfeedback/channels/send-to-a-list/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-visualforce-email-templates/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how do I limit survey access to certain IP addresses,https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/,True,3.0,https://help.surveymonkey.com/en/getfeedback/account/tracking-ip-address/; https://help.surveymonkey.com/en/surveymonkey/send/ip-tracking/; https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/; https://help.surveymonkey.com/en/wufoo/build/form-settings/; https://help.surveymonkey.com/en/wufoo/build/allow-once-ip/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-permissions-guide/; https://help.surveymonkey.com/en/surveymonkey/teams/access-levels/; https://help.surveymonkey.com/en/surveymonkey/teams/access-levels/; https://help.surveymonkey.com/en/surveymonkey/send/tracking-respondents/; https://help.surveymonkey.com/en/surveymonkey/send/anonymous-responses/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
how can I ensure respondents are reading the questions,https://help.surveymonkey.com/en/surveymonkey/create/trap-questions/,True,2.0,https://help.surveymonkey.com/en/surveymonkey/analyze/skipped-questions/; https://help.surveymonkey.com/en/surveymonkey/create/trap-questions/; https://help.surveymonkey.com/en/surveymonkey/create/trap-questions/; https://help.surveymonkey.com/en/surveymonkey/create/disqualifying-respondents/; https://help.surveymonkey.com/en/surveymonkey/analyze/respondents-skipping-questions/; https://help.surveymonkey.com/en/surveymonkey/send/printing-responses/; https://help.surveymonkey.com/en/surveymonkey/send/tracking-respondents/; https://help.surveymonkey.com/en/surveymonkey/policy/audience-policies/; https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/,0.0,0.0,0.6666666666666666,2.0,0.4,2.0,0.2,2.0,0.5
can I display results in PowerBI,https://help.surveymonkey.com/en/surveymonkey/integrations/microsoft-power-bi-integration/,False,,https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/; https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/using-rules/; https://help.surveymonkey.com/en/surveymonkey/create/return-to-work/; https://help.surveymonkey.com/en/apply/analyze/site-activity-log/; https://help.surveymonkey.com/en/apply/build/date-time-question/; https://help.surveymonkey.com/en/apply/build/ranking-question/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-results/; https://help.surveymonkey.com/en/apply/monitor/site-search-tool/; https://help.surveymonkey.com/en/getfeedback/insights/workspaces/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
